Name,Part,Location,Date,Result,BelligerentsA,BelligerentsB,CommanderA,CommanderB,StrengthA,StrengthB,LossA,LossB
Battle of Znaim,"
Part of the War of the Fifth Coalition
","Znojmo, South Moravian Region",10–11 July 1809,Armistice, Austrian Empire, First French Empire,Archduke Charles of Austria,"Auguste de Marmont on the 10th, joined by Napoleon I and André Masséna on the 11th","40,000-47,000","10,000 on the 10th, joined by Masséna's reinforcements on the 11th totalling 30,000","5,300","3,100"
Battle of Abensberg,"
Part of the War of the Fifth Coalition
","Abensberg, Bavaria, Germany",20 April 1809,French victory, Austrian Empire," First French Empire
 Kingdom of Bavaria
 Württemberg"," Archduke Charles
 Johann von Hiller
 Archduke Louis
 Michael Kienmayer"," Napoleon I
 Jean Lannes
 François Lefebvre
 Karl von Wrede
 D. Vandamme","42,000","55,000","6,711, 12 guns","1,107"
Battle of Alba de Tormes,"
Part of Peninsular War
","Alba de Tormes, Spain",26 November 1809,French victory, French Empire, Kingdom of Spain, François Kellermann, Duke del Parque,"16,000, 12 guns","32,000, 18 guns",300 to 600,"3,000, 9 guns"
Battle of Albuera,"
Part of the Peninsular War
","Albuera, south of Badajoz, Spain",16 May 1811,Indecisive[1][2][3][4]," United Kingdom
 Kingdom of Spain
 Kingdom of Portugal", French Empire," William Beresford
 Joaquin Blake"," Jean de Dieu Soult
 Jean-Baptiste Girard","
35,284:
31,385 infantry and 3,899 cavalry, 40-48 guns Anglo-Portuguese Forces: 20,650:

10,449 British: 9,285 infantry, 1,164 cavalry, 24 guns[6]
10,201 Portuguese: 9,352 infantry, 849 cavalry, 12 guns[7]

Spanish Forces: 14,634: 12,748 infantry, 1,886 cavalry, 14 guns[7]","24,260:
20,248 infantry, 4,012 cavalry, 48 guns","5,916 to 7,000 dead or wounded
1,000 captured[10]

4,159 British
1,368 Spaniards
389 Portuguese.[5]","5,936–7,900 dead or wounded"
Battle of Alcañiz,"
Part of the Peninsular War
","Alcañiz, west of Teruel, Spain","May 23, 1809",Spanish victory, French Empire, Kingdom of Spain,Louis Gabriel Suchet, Joaquín Blake y Joyes,"10,000 infantry,
800 cavalry","8,500 infantry,
500 cavalry","2,000 dead or wounded",300 dead or wounded
Battle of Almaraz,"
Part of the Peninsular War
","Almaraz, Spain","May 18/19, 1812",Anglo-Portuguese victory," United Kingdom
 Portugal", French Empire, Lord Hill, Colonel Aubert †,"6,000
9 guns","1,000","33 killed
148 wounded","150 killed & wounded
259 captured"
Battle of Almonacid,"
Part of the Peninsular War
","Almonacid, near Toledo, Spain",11 August 1809,French victory, France, Kingdom of Spain,Horace François Bastien Sébastiani de La Porta,Francisco Javier Venegas de Saavedra y Ramínez de Arenzana,"26,000 infantry,
4,000 cavalry,
40 guns","23,000 infantry,
3,000 cavalry,
29 guns","2,400","5,500:
3,500 dead, wounded
2,000 captured
20 cannon"
Battle of Amstetten,"
Part of the War of the Third Coalition
","Amstetten, Lower Austria",5 November 1805,French tactical victory, France," Holy Roman Empire  Austrian Empire
 Russia"," Joachim Murat
 Jean Lannes"," Michael Kienmayer
 Pyotr Bagration","Around 10,000 soldiers","6,700 soldiers","Under 1,000 total","Russian Empire:
300 killed or wounded
<700 prisoners
Austrian Empire:
1,000 killed, wounded, or prisoners"
Battle of Arcis-sur-Aube,"
Part of War of the Sixth Coalition
","Arcis-sur-Aube, France",20–21 March 1814,"Tactical French victory;[1]
Successful French disengagement and retreat;
Strategic Austrian victory", French Empire," Austria
 Russian Empire
 Kingdom of Bavaria
 Württemberg"," Napoleon I
 Michel Ney
 Nicolas Oudinot
 Horace Sébastiani"," Karl Schwarzenberg
 Peter Wittgenstein
 Karl von Wrede
 Crownprince William","20,000 rising to 28,000","43,000 rising to 80,000","3,000 dead or wounded","4,000 dead or wounded"
Battle of Arroyo dos Molinos,"
Part of Peninsular War
","Arroyo dos Molinos, Extremadura, Spain",28 October 1811,Allied victory," Britain
 Portugal
 Spain", France, Rowland Hill, Jean-Baptiste Girard,"9,000 British, Portuguese and Spanish","6,000",80 dead or wounded,"1,000 dead or wounded
1,400 and 3 guns captured"
Battle of Aspern-Essling,"
Part of War of the Fifth Coalition
","Lobau, Vienna",21–22 May 1809,Austrian victory, French Empire, Austrian Empire,"Napoleon I
Jean Lannes (DOW)", Archduke Charles,"27,000 (First day)
66,000 (Second day)","95,800 (First day)
90,800 (Second day)","
23,000 total:
7,000 killed
16,000 wounded","
23,300 total:
6,200 killed or missing
16,300 wounded
800 captured"
Battle of Austerlitz,"
Part of the War of the Third Coalition
","Austerlitz, Moravia, Austrian Empire
(now Slavkov u Brna, Czech Republic)",2 December 1805,"Decisive French victory



Treaty of Pressburg
Effective end of the Third Coalition
Dissolution of the Holy Roman Empire
Creation of the Confederation of the Rhine



", France," Russian Empire
 Holy Roman Empire", Napoleon I," Alexander I
 Mikhail Kutuzov
 Francis II","67,000","85,400","1,305 dead,
6,940 wounded,
573 captured,
1 standard lost
Total: 9,000","16,000 dead or wounded,
20,000 captured,
186 guns lost,
45 standards lost
Total: 36,000"
Battle of Bailén,"
Part of the Peninsular War
","Bailén, Spain",16–19 July 1808,Decisive Spanish victory, French Empire, Kingdom of Spain," Pierre Dupont  (POW)
 Dominique Honoré Antoine Vedel  (POW)"," Francisco Castaños
 Theodor von Reding","21,130 regulars[2]
3,300 cavalry[1]
24 guns","27,110 regulars and militia
2,660 cavalry[3]
25 guns[3]","2,200 dead
400 wounded[5]
17,635 captured[6]","243 dead
735 wounded[4]"
